,country,city,lat,lon,members,cluster,country2continent
486,Sweden,Stockholm,59.33000183,18.06999969,646,Purple (Software/Web/Mobile Development),EU
510,Germany,Berlin,52.52000046,13.38000011,731,Orange (Big Data/Data Science),EU
511,France,Paris,48.86000061,2.339999914,4017,"Gray (Agile, Scrum)",EU
519,Netherlands,Amsterdam,52.36999893,4.889999866,717,Purple (Software/Web/Mobile Development),EU
523,United Kingdom,Hull,53.74000168,-0.330000013,1184,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
529,United Kingdom,Edinburgh,55.95000076,-3.220000029,765,Purple (Software/Web/Mobile Development),EU
530,United Kingdom,London,51.52000046,-0.100000001,5216,Purple (Software/Web/Mobile Development),EU
537,United Kingdom,London,51.52000046,-0.100000001,442,Purple (Software/Web/Mobile Development),EU
568,United Kingdom,London,51.52000046,-0.100000001,95,Purple (Software/Web/Mobile Development),EU
591,Spain,Barcelona,41.40000153,2.170000076,148,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
592,Netherlands,Amsterdam,52.36999893,4.889999866,128,Purple (Software/Web/Mobile Development),EU
598,Hungary,Budapest,47.50999832,19.07999992,1860,Purple (Software/Web/Mobile Development),EU
603,Hungary,Budapest,47.50999832,19.07999992,683,Purple (Software/Web/Mobile Development),EU
604,United Kingdom,London,51.45999908,-0.209999993,991,Purple (Software/Web/Mobile Development),EU
605,Sweden,Malmö,55.61000061,13.02000046,263,Purple (Software/Web/Mobile Development),EU
607,Finland,Helsinki,60.16999817,24.94000053,377,Purple (Software/Web/Mobile Development),EU
618,Sweden,Gothenburg,57.72000122,12.01000023,313,Purple (Software/Web/Mobile Development),EU
623,France,Paris,48.86000061,2.339999914,461,Orange (Big Data/Data Science),EU
646,Norway,Oslo,59.90999985,10.75,315,Orange (Big Data/Data Science),EU
652,United Kingdom,Nottingham,52.97000122,-1.179999948,1007,Purple (Software/Web/Mobile Development),EU
675,United Kingdom,London,51.52000046,-0.129999995,500,Orange (Big Data/Data Science),EU
677,United Kingdom,London,51.52000046,-0.129999995,7205,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
679,Poland,Wroclaw,51.11000061,17.03000069,536,"Gray (Agile, Scrum)",EU
688,Netherlands,Rijswijk,52.04999924,4.360000134,473,"Aqua (Online Marketing, WordPress)",EU
695,Austria,Vienna,48.22000122,16.37000084,509,Orange (Big Data/Data Science),EU
710,Italy,Roma,41.90000153,12.47999954,216,Orange (Big Data/Data Science),EU
720,Netherlands,Amsterdam,52.36999893,4.889999866,1842,"Blue (Robotics, Arduino, DiY)",EU
722,United Kingdom,London,51.52000046,-0.100000001,154,Purple (Software/Web/Mobile Development),EU
723,Switzerland,Zürich,47.38000107,8.539999962000001,335,Orange (Big Data/Data Science),EU
732,France,Paris,48.86000061,2.339999914,504,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
754,United Kingdom,London,51.50999832,-0.07,192,Purple (Software/Web/Mobile Development),EU
755,United Kingdom,Manchester,53.47999954,-2.230000019,496,Purple (Software/Web/Mobile Development),EU
756,United Kingdom,London,51.52000046,-0.100000001,1268,Purple (Software/Web/Mobile Development),EU
766,Netherlands,Rotterdam,51.93000031,4.480000018999999,3043,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
777,United Kingdom,London,51.52000046,-0.100000001,2073,"Gray (Agile, Scrum)",EU
780,United Kingdom,London,51.43000031,-0.109999999,575,Purple (Software/Web/Mobile Development),EU
783,United Kingdom,London,51.52999878,-0.119999997,1070,"Aqua (Online Marketing, WordPress)",EU
787,Norway,Oslo,59.90999985,10.75,833,"Gray (Agile, Scrum)",EU
788,United Kingdom,London,51.50999832,-0.07,984,Purple (Software/Web/Mobile Development),EU
789,Netherlands,Utrecht,52.09999847,5.110000134,35,"Aqua (Online Marketing, WordPress)",EU
793,United Kingdom,Cambridge,52.20000076,0.119999997,239,Purple (Software/Web/Mobile Development),EU
804,United Kingdom,London,51.5,-0.140000001,3942,"Gray (Agile, Scrum)",EU
805,United Kingdom,London,51.50999832,-0.109999999,2040,"Aqua (Online Marketing, WordPress)",EU
812,United Kingdom,London,51.52000046,-0.129999995,1063,Purple (Software/Web/Mobile Development),EU
815,United Kingdom,Cambridge,52.20000076,0.119999997,648,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
820,Romania,Cluj-Napoca,46.77999878,23.59000015,810,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
833,Romania,Timisoara,45.75999832,21.22999954,945,"Gray (Agile, Scrum)",EU
841,Hungary,Budapest,47.50999832,19.07999992,684,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
851,Netherlands,Den Haag,52.08000183,4.28000021,1825,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
873,United Kingdom,London,51.52000046,-0.079999998,1046,"Gray (Agile, Scrum)",EU
881,France,Paris,48.86000061,2.339999914,3802,Orange (Big Data/Data Science),EU
882,Norway,Oslo,59.90999985,10.75,509,"Gray (Agile, Scrum)",EU
884,United Kingdom,London,51.50999832,-0.09000000400000001,984,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
907,United Kingdom,London,51.50999832,-0.09000000400000001,582,Orange (Big Data/Data Science),EU
909,United Kingdom,London,51.50999832,-0.140000001,3349,"Blue (Robotics, Arduino, DiY)",EU
911,United Kingdom,London,51.52000046,-0.100000001,3299,Purple (Software/Web/Mobile Development),EU
917,Austria,Vienna,48.22000122,16.37000084,784,Purple (Software/Web/Mobile Development),EU
918,Slovakia,Bratislava,48.15999985,17.12999916,426,Purple (Software/Web/Mobile Development),EU
920,France,Paris,48.86000061,2.339999914,3844,Purple (Software/Web/Mobile Development),EU
922,Germany,München,48.13999939,11.57999992,122,Orange (Big Data/Data Science),EU
933,Norway,Oslo,59.90999985,10.75,326,Purple (Software/Web/Mobile Development),EU
943,Netherlands,Amsterdam,52.36999893,4.889999866,454,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
955,United Kingdom,Birmingham,52.47999954,-1.879999995,399,Purple (Software/Web/Mobile Development),EU
962,United Kingdom,London,51.52000046,-0.09000000400000001,4110,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
963,United Kingdom,London,51.52000046,-0.119999997,683,"Aqua (Online Marketing, WordPress)",EU
964,United Kingdom,London,51.52000046,-0.129999995,1649,"Aqua (Online Marketing, WordPress)",EU
965,United Kingdom,Nottingham,52.95999908,-1.149999976,82,"Aqua (Online Marketing, WordPress)",EU
973,United Kingdom,London,51.5,-0.09000000400000001,709,"Aqua (Online Marketing, WordPress)",EU
977,United Kingdom,Oxford,51.75,-1.24000001,278,Purple (Software/Web/Mobile Development),EU
989,United Kingdom,London,51.50999832,-0.129999995,1035,Purple (Software/Web/Mobile Development),EU
990,Norway,Drammen,59.75,10.19999981,160,Purple (Software/Web/Mobile Development),EU
996,United Kingdom,London,51.52000046,-0.100000001,1315,Purple (Software/Web/Mobile Development),EU
998,United Kingdom,London,51.50999832,-0.079999998,3183,Orange (Big Data/Data Science),EU
1002,United Kingdom,London,51.50999832,-0.129999995,420,Purple (Software/Web/Mobile Development),EU
1003,Norway,Oslo,59.90999985,10.75,555,Orange (Big Data/Data Science),EU
1007,United Kingdom,London,51.50999832,-0.119999997,955,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1009,United Kingdom,London,51.52000046,-0.159999996,339,Purple (Software/Web/Mobile Development),EU
1013,Norway,Oslo,59.90999985,10.75,66,Purple (Software/Web/Mobile Development),EU
1016,Hungary,Budapest,47.50999832,19.07999992,1889,Purple (Software/Web/Mobile Development),EU
1028,United Kingdom,London,51.52000046,-0.100000001,7943,Purple (Software/Web/Mobile Development),EU
1049,United Kingdom,Bristol,51.45000076,-2.579999924,1275,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1070,Netherlands,Amsterdam,52.36999893,4.889999866,887,Purple (Software/Web/Mobile Development),EU
1073,United Kingdom,London,51.52000046,-0.100000001,474,Orange (Big Data/Data Science),EU
1075,Belgium,Brussels,50.83000183,4.329999924,129,Orange (Big Data/Data Science),EU
1077,Netherlands,Rotterdam,51.93000031,4.480000018999999,53,"Aqua (Online Marketing, WordPress)",EU
1080,Norway,Oslo,59.90999985,10.75,331,"Gray (Agile, Scrum)",EU
1084,Norway,Oslo,59.90999985,10.75,444,"Aqua (Online Marketing, WordPress)",EU
1088,Hungary,Budapest,47.50999832,19.07999992,3231,"Gray (Agile, Scrum)",EU
1089,Norway,Oslo,59.90999985,10.75,2549,Purple (Software/Web/Mobile Development),EU
1100,Switzerland,Basel,47.56999969,7.579999924,303,Orange (Big Data/Data Science),EU
1101,Netherlands,Amsterdam,52.36999893,4.889999866,314,Pink (DevOps/Cloud Computing),EU
1108,Hungary,Budapest,47.50999832,19.07999992,2986,Orange (Big Data/Data Science),EU
1116,United Kingdom,Cambridge,52.20000076,0.140000001,576,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1117,Netherlands,Rotterdam,51.93000031,4.480000018999999,1697,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1122,United Kingdom,London,51.5,-0.02,550,Purple (Software/Web/Mobile Development),EU
1133,United Kingdom,London,51.50999832,-0.140000001,1753,Purple (Software/Web/Mobile Development),EU
1139,Romania,Cluj-Napoca,46.77999878,23.59000015,487,Orange (Big Data/Data Science),EU
1145,United Kingdom,London,51.50999832,-0.129999995,410,Purple (Software/Web/Mobile Development),EU
1150,Sweden,Stockholm,59.33000183,18.06999969,563,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1151,United Kingdom,London,51.52000046,-0.100000001,979,Orange (Big Data/Data Science),EU
1152,Netherlands,Amsterdam,52.36999893,4.889999866,197,Purple (Software/Web/Mobile Development),EU
1156,Norway,Oslo,59.90999985,10.75,467,Orange (Big Data/Data Science),EU
1158,Switzerland,Geneva,46.20999908,6.139999866,193,"Aqua (Online Marketing, WordPress)",EU
1171,United Kingdom,Reading,51.45999908,-0.959999979,1272,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1179,Romania,Cluj-Napoca,46.77999878,23.59000015,350,Purple (Software/Web/Mobile Development),EU
1181,United Kingdom,Isleworth,51.49000168,-0.330000013,378,Pink (DevOps/Cloud Computing),EU
1182,Switzerland,Zürich,47.38000107,8.539999962000001,588,Purple (Software/Web/Mobile Development),EU
1186,Germany,Kassel,51.31999969,9.479999542,95,Orange (Big Data/Data Science),EU
1191,Norway,Oslo,59.90999985,10.75,475,Purple (Software/Web/Mobile Development),EU
1203,Switzerland,Gland,46.43000031,6.2699999810000016,745,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1211,Netherlands,Amsterdam,52.36999893,4.889999866,607,Orange (Big Data/Data Science),EU
1215,Latvia,Riga,56.97000122,24.12999916,973,"Gray (Agile, Scrum)",EU
1229,Switzerland,Zürich,47.38000107,8.539999962000001,1373,Purple (Software/Web/Mobile Development),EU
1242,United Kingdom,Cambridge,52.20000076,0.119999997,2382,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1247,United Kingdom,London,51.52000046,-0.09000000400000001,8152,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1251,Sweden,Gothenburg,57.72000122,12.01000023,318,Purple (Software/Web/Mobile Development),EU
1253,United Kingdom,London,51.52000046,-0.150000006,584,Purple (Software/Web/Mobile Development),EU
1271,United Kingdom,London,51.50999832,-0.02,584,Purple (Software/Web/Mobile Development),EU
1277,Austria,Vienna,48.22000122,16.37000084,2356,Purple (Software/Web/Mobile Development),EU
1288,United Kingdom,London,51.52000046,-0.100000001,351,Purple (Software/Web/Mobile Development),EU
1313,United Kingdom,London,51.52000046,-0.09000000400000001,1009,Purple (Software/Web/Mobile Development),EU
1335,United Kingdom,London,51.63000107,-0.119999997,1291,"Aqua (Online Marketing, WordPress)",EU
1336,United Kingdom,Cardiff,51.49000168,-3.180000067,251,Purple (Software/Web/Mobile Development),EU
1349,United Kingdom,London,51.50999832,-0.140000001,1177,"Gray (Agile, Scrum)",EU
1351,Switzerland,Zürich,47.38000107,8.539999962000001,597,Purple (Software/Web/Mobile Development),EU
1360,United Kingdom,London,51.52000046,-0.100000001,279,Purple (Software/Web/Mobile Development),EU
1365,Netherlands,Amsterdam,52.36999893,4.889999866,1093,Orange (Big Data/Data Science),EU
1368,France,Paris,48.86000061,2.339999914,421,"Aqua (Online Marketing, WordPress)",EU
1369,Netherlands,Amsterdam,52.36999893,4.889999866,2475,Purple (Software/Web/Mobile Development),EU
1380,Finland,Helsinki,60.16999817,24.94000053,107,Purple (Software/Web/Mobile Development),EU
1383,United Kingdom,London,51.5,-0.109999999,3021,"Blue (Robotics, Arduino, DiY)",EU
1387,Norway,Oslo,59.90999985,10.75,1011,Purple (Software/Web/Mobile Development),EU
1397,United Kingdom,London,51.52000046,-0.140000001,4046,"Gray (Agile, Scrum)",EU
1412,United Kingdom,London,51.52000046,-0.100000001,327,Purple (Software/Web/Mobile Development),EU
1414,Romania,Cluj-Napoca,46.77999878,23.59000015,1080,"Gray (Agile, Scrum)",EU
1415,France,Paris,48.86000061,2.339999914,882,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1431,Germany,Hamburg,53.54999924,10.0,270,Purple (Software/Web/Mobile Development),EU
1432,France,Paris,48.86000061,2.339999914,981,Orange (Big Data/Data Science),EU
1435,United Kingdom,London,51.52000046,-0.100000001,2081,"Gray (Agile, Scrum)",EU
1439,United Kingdom,Beaconsfield,51.59999847,-0.639999986,87,"Aqua (Online Marketing, WordPress)",EU
1442,United Kingdom,Oxford,51.75,-1.2799999709999998,628,Purple (Software/Web/Mobile Development),EU
1449,Germany,Köln,50.95000076,6.96999979,54,"Aqua (Online Marketing, WordPress)",EU
1451,Hungary,Debrecen,47.54000092,21.62999916,895,Purple (Software/Web/Mobile Development),EU
1452,Hungary,Budapest,47.50999832,19.07999992,2155,Purple (Software/Web/Mobile Development),EU
1453,United Kingdom,London,51.50999832,-0.100000001,2301,Purple (Software/Web/Mobile Development),EU
1458,Germany,Berlin,52.52000046,13.38000011,326,Orange (Big Data/Data Science),EU
1477,France,Montpellier,43.61000061,3.869999886,168,Orange (Big Data/Data Science),EU
1480,Latvia,Riga,56.97000122,24.12999916,170,Purple (Software/Web/Mobile Development),EU
1485,Germany,Hamburg,53.54999924,10.0,1686,Purple (Software/Web/Mobile Development),EU
1486,Netherlands,Utrecht,52.09999847,5.110000134,56,Purple (Software/Web/Mobile Development),EU
1488,Germany,Köln,50.95000076,6.96999979,128,Purple (Software/Web/Mobile Development),EU
1497,Sweden,Gothenburg,57.72000122,12.01000023,1379,"Gray (Agile, Scrum)",EU
1499,Germany,Stuttgart,48.79000092,9.18999958,1128,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1506,United Kingdom,London,51.50999832,-0.140000001,4664,Orange (Big Data/Data Science),EU
1507,France,Paris,48.86000061,2.339999914,399,"Blue (Robotics, Arduino, DiY)",EU
1509,United Kingdom,Cambridge,52.20000076,0.140000001,834,Purple (Software/Web/Mobile Development),EU
1535,United Kingdom,Bristol,51.43999863,-2.609999895,244,Purple (Software/Web/Mobile Development),EU
1537,United Kingdom,Inverness,57.47999954,-4.2300000189999984,124,Purple (Software/Web/Mobile Development),EU
1554,United Kingdom,Cambridge,52.22999954,0.150000006,181,Orange (Big Data/Data Science),EU
1564,Romania,Timisoara,45.75999832,21.22999954,517,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1567,Romania,Bucharest,44.43999863,26.10000038,1094,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1579,Hungary,Budapest,47.50999832,19.07999992,432,Orange (Big Data/Data Science),EU
1607,Sweden,Stockholm,59.33000183,18.06999969,962,Purple (Software/Web/Mobile Development),EU
1616,Norway,Oslo,59.90999985,10.75,290,Purple (Software/Web/Mobile Development),EU
1619,Norway,Oslo,59.90999985,10.75,1842,Purple (Software/Web/Mobile Development),EU
1620,Switzerland,Geneva,46.20999908,6.139999866,480,Orange (Big Data/Data Science),EU
1625,United Kingdom,London,51.49000168,-0.150000006,2700,"Gray (Agile, Scrum)",EU
1626,Netherlands,Amsterdam,52.36999893,4.889999866,589,Purple (Software/Web/Mobile Development),EU
1631,United Kingdom,Exeter,50.72999954,-3.539999962,994,Purple (Software/Web/Mobile Development),EU
1633,United Kingdom,London,51.54000092,-0.09000000400000001,3,Purple (Software/Web/Mobile Development),EU
1639,Netherlands,Amsterdam,52.36999893,4.889999866,6436,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1659,United Kingdom,Bath,51.38999939,-2.359999895,1253,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1662,Germany,Wiesbaden,50.08000183,8.229999542,285,Orange (Big Data/Data Science),EU
1666,United Kingdom,London,51.49000168,-0.129999995,1628,Purple (Software/Web/Mobile Development),EU
1689,United Kingdom,London,51.50999832,-0.230000004,56,Purple (Software/Web/Mobile Development),EU
1691,Sweden,Stockholm,59.33000183,18.06999969,671,Orange (Big Data/Data Science),EU
1709,Ireland,Dublin,53.33000183,-6.25,703,"Aqua (Online Marketing, WordPress)",EU
1712,Romania,Iasi,47.16999817,27.56999969,282,"Gray (Agile, Scrum)",EU
1716,Belgium,Antwerpen,51.22000122,4.420000076,729,Purple (Software/Web/Mobile Development),EU
1726,United Kingdom,Manchester,53.49000168,-2.230000019,269,Purple (Software/Web/Mobile Development),EU
1731,Belgium,Antwerpen,51.22000122,4.420000076,428,Purple (Software/Web/Mobile Development),EU
1738,United Kingdom,London,51.52000046,-0.100000001,4694,Orange (Big Data/Data Science),EU
1766,Poland,Kraków,50.06000137,19.95999908,1069,Purple (Software/Web/Mobile Development),EU
1767,United Kingdom,London,51.52000046,-0.09000000400000001,1089,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1769,United Kingdom,Birmingham,52.45000076,-1.7200000290000002,73,Orange (Big Data/Data Science),EU
1784,Norway,Oslo,59.90999985,10.75,2041,Purple (Software/Web/Mobile Development),EU
1787,United Kingdom,London,51.52000046,-0.09000000400000001,5925,Purple (Software/Web/Mobile Development),EU
1790,France,Paris,48.86000061,2.339999914,685,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1793,Norway,Oslo,59.90999985,10.75,989,Purple (Software/Web/Mobile Development),EU
1801,Sweden,Gothenburg,57.72000122,12.01000023,201,Purple (Software/Web/Mobile Development),EU
1805,Netherlands,Amsterdam,52.36999893,4.889999866,733,Purple (Software/Web/Mobile Development),EU
1813,Spain,Valencia,39.47999954,-0.389999986,83,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1820,United Kingdom,London,51.52999878,-0.100000001,2929,"Blue (Robotics, Arduino, DiY)",EU
1821,United Kingdom,Brighton,50.83000183,-0.140000001,423,Purple (Software/Web/Mobile Development),EU
1831,France,Paris,48.86000061,2.339999914,1568,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1850,Norway,Oslo,59.90999985,10.75,205,Orange (Big Data/Data Science),EU
1861,United Kingdom,Bath,51.38000107,-2.359999895,54,Purple (Software/Web/Mobile Development),EU
1862,Norway,Kristiansund,63.11999893,7.760000229,138,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
1869,Switzerland,Zürich,47.38000107,8.539999962000001,221,Purple (Software/Web/Mobile Development),EU
1872,Switzerland,Zürich,47.38000107,8.539999962000001,420,Purple (Software/Web/Mobile Development),EU
1884,United Kingdom,London,51.52000046,-0.09000000400000001,1898,"Aqua (Online Marketing, WordPress)",EU
1888,Denmark,Copenhagen,55.68000031,12.56999969,298,Purple (Software/Web/Mobile Development),EU
1889,Netherlands,Eindhoven,51.43999863,5.46999979,623,Purple (Software/Web/Mobile Development),EU
1896,Sweden,Stockholm,59.33000183,18.06999969,1912,Purple (Software/Web/Mobile Development),EU
1899,Norway,Oslo,59.90999985,10.75,905,Purple (Software/Web/Mobile Development),EU
1905,United Kingdom,London,51.52000046,-0.109999999,2029,"Blue (Robotics, Arduino, DiY)",EU
1909,United Kingdom,London,51.59999847,-0.180000007,436,Purple (Software/Web/Mobile Development),EU
1910,Romania,Cluj-Napoca,46.77999878,23.59000015,562,Purple (Software/Web/Mobile Development),EU
1912,Hungary,Budapest,47.50999832,19.07999992,3984,Purple (Software/Web/Mobile Development),EU
1913,United Kingdom,London,51.52000046,-0.09000000400000001,1411,Purple (Software/Web/Mobile Development),EU
1923,Spain,Madrid,40.41999817,-3.710000038,3791,"Gray (Agile, Scrum)",EU
1924,Ireland,Dublin,53.33000183,-6.25,972,Purple (Software/Web/Mobile Development),EU
1927,Norway,Oslo,59.90999985,10.75,1572,"Blue (Robotics, Arduino, DiY)",EU
1932,Netherlands,Amsterdam,52.36999893,4.889999866,4202,Purple (Software/Web/Mobile Development),EU
1948,United Kingdom,London,51.52999878,-0.100000001,2443,"Aqua (Online Marketing, WordPress)",EU
1949,United Kingdom,London,51.50999832,-0.100000001,2330,"Aqua (Online Marketing, WordPress)",EU
1950,United Kingdom,London,51.50999832,-0.09000000400000001,283,Orange (Big Data/Data Science),EU
1954,Germany,Berlin,52.52000046,13.38000011,3843,Purple (Software/Web/Mobile Development),EU
1958,Hungary,Budapest,47.50999832,19.07999992,453,"Gray (Agile, Scrum)",EU
1961,Denmark,√Örhus,56.15999985,10.21000004,248,Purple (Software/Web/Mobile Development),EU
1963,Ireland,Dublin,53.33000183,-6.25,869,"Aqua (Online Marketing, WordPress)",EU
1968,United Kingdom,London,51.52000046,-0.100000001,4101,Orange (Big Data/Data Science),EU
1969,Germany,Berlin,52.52000046,13.38000011,1019,Orange (Big Data/Data Science),EU
1994,Netherlands,Rotterdam,51.93000031,4.480000018999999,1632,"Aqua (Online Marketing, WordPress)",EU
1997,Belgium,Leuven,50.88000107,4.699999809,2237,Orange (Big Data/Data Science),EU
2009,United Kingdom,London,51.52000046,-0.079999998,1008,Orange (Big Data/Data Science),EU
2014,Norway,Stavanger,58.97000122,5.710000038,399,"Blue (Robotics, Arduino, DiY)",EU
2015,United Kingdom,London,51.49000168,-0.129999995,1626,Pink (DevOps/Cloud Computing),EU
2040,Germany,Hannover,52.40000153,9.729999542,146,Purple (Software/Web/Mobile Development),EU
2046,United Kingdom,London,51.54999924,0.02,3902,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
2051,United Kingdom,London,51.52000046,-0.129999995,126,"Aqua (Online Marketing, WordPress)",EU
2054,Czechia,Prague,50.08000183,14.43000031,445,Purple (Software/Web/Mobile Development),EU
2057,United Kingdom,Manchester,53.47999954,-2.24000001,2160,"Gray (Agile, Scrum)",EU
2058,Spain,Barcelona,41.40000153,2.170000076,73,Purple (Software/Web/Mobile Development),EU
2059,Sweden,Malmö,55.61000061,13.02000046,212,Orange (Big Data/Data Science),EU
2060,France,Paris,48.86000061,2.339999914,1929,Purple (Software/Web/Mobile Development),EU
2065,France,Paris,48.86000061,2.339999914,2804,Purple (Software/Web/Mobile Development),EU
2072,United Kingdom,London,51.52000046,-0.140000001,2630,"Gray (Agile, Scrum)",EU
2075,Germany,Hamburg,53.54999924,10.0,370,"Aqua (Online Marketing, WordPress)",EU
2078,United Kingdom,Manchester,53.47999954,-2.230000019,1195,Pink (DevOps/Cloud Computing),EU
2100,Sweden,Stockholm,59.33000183,18.06999969,595,"Green (Entrepreneurship, Startup Businesses, Networking)",EU
2107,United Kingdom,London,51.52000046,-0.109999999,190,Pink (DevOps/Cloud Computing),EU
2110,Switzerland,Zürich,47.38000107,8.539999962000001,661,Purple (Software/Web/Mobile Development),EU
2111,United Kingdom,London,51.52000046,-0.109999999,3249,Purple (Software/Web/Mobile Development),EU
2113,Germany,Berlin,52.52000046,13.38000011,910,Purple (Software/Web/Mobile Development),EU
2114,United Kingdom,London,51.52000046,-0.100000001,202,Purple (Software/Web/Mobile Development),EU
2127,Netherlands,Amsterdam,52.36999893,4.889999866,1151,Pink (DevOps/Cloud Computing),EU
2130,United Kingdom,Cambridge,52.20999908,0.109999999,1114,Orange (Big Data/Data Science),EU
2142,United Kingdom,London,51.52000046,-0.140000001,246,"Aqua (Online Marketing, WordPress)",EU
2147,Spain,Madrid,40.41999817,-3.710000038,4407,Purple (Software/Web/Mobile Development),EU
